City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Port Elizabeth,ZA,-33.918,25.5701,91.09,73,0,24.16,clear sky
118,Pitimbu,BR,-7.4706,-34.8086,88.39,53,64,8.61,broken clouds
119,Port Hedland,AU,-20.3167,118.5667,86.05,79,75,13.8,broken clouds
120,Dikson,RU,73.5069,80.5464,-23.71,100,78,6.8,broken clouds
121,Luderitz,NA,-26.6481,15.1594,72.95,71,19,13.31,few clouds
122,Pisco,PE,-13.7,-76.2167,70.02,83,100,4.61,mist
123,Galegos,PT,41.5627,-8.572,61.41,42,59,2.26,broken clouds
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,76,1,13.42,clear sky
125,Washington,US,47.5001,-120.5015,38.93,90,100,2.19,overcast clouds
126,Faanui,PF,-16.4833,-151.75,80.96,74,90,20.49,light rain
127,Kalmunai,LK,7.4167,81.8167,77.14,74,98,10.22,overcast clouds
128,Andenes,NO,69.3143,16.1194,30.18,69,0,11.5,clear sky
129,Biankouma,CI,7.7391,-7.6138,95.2,10,4,5.75,clear sky
130,Tevaitoa,PF,-16.7833,-151.5,81.3,74,99,21.25,light rain
131,Constitucion,CL,-35.3333,-72.4167,72.36,48,0,3.56,clear sky
132,Bullhead City,US,35.1478,-114.5683,59.27,17,0,26.46,clear sky
133,Codrington,AU,-38.2667,141.9667,63.57,63,0,12.86,clear sky
134,Agua Dulce,MX,18.1333,-94.1333,55.18,91,100,9.08,overcast clouds
135,Kruisfontein,ZA,-34.0033,24.7314,88.88,43,98,20.04,overcast clouds
136,Rio Gallegos,AR,-51.6226,-69.2181,68.05,45,0,23.02,clear sky
137,Qaqortoq,GL,60.7167,-46.0333,5.5,57,100,5.66,overcast clouds
138,Qaanaaq,GL,77.484,-69.3632,-11.97,67,93,8.66,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,76.06,70,1,22.62,clear sky
140,Aquidauana,BR,-20.4711,-55.7872,84.83,66,89,5.41,overcast clouds
141,Turukhansk,RU,65.8167,87.9833,-9.0,100,95,2.89,overcast clouds
142,Mucurapo,TT,10.6667,-61.5333,86.05,70,29,7.96,scattered clouds
143,Mwene-Ditu,CD,-7.0,23.45,72.86,90,100,4.72,moderate rain
144,Narsaq,GL,60.9167,-46.05,5.22,57,100,3.42,overcast clouds
145,Kamaishi,JP,39.2667,141.8833,27.09,66,39,5.1,scattered clouds
146,Graaff-Reinet,ZA,-32.2522,24.5308,91.26,22,99,7.9,overcast clouds
147,Sidney,AU,-33.8679,151.2073,66.11,88,75,1.01,light intensity shower rain
148,San Cristobal,VE,7.7669,-72.225,66.38,76,91,2.21,overcast clouds
149,La Macarena,CO,2.1837,-73.7849,81.7,62,91,3.02,overcast clouds
150,Avera,US,33.194,-82.5271,38.71,48,11,12.59,few clouds
151,Dunedin,NZ,-45.8742,170.5036,48.79,77,43,2.39,scattered clouds
152,Satun,TH,6.8333,100.0,83.91,77,58,6.17,broken clouds
153,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,14.97,few clouds
154,Mar Del Plata,AR,-38.0023,-57.5575,66.22,85,75,15.99,broken clouds
155,Torbay,CA,47.6666,-52.7314,18.88,87,100,19.57,light snow
156,Nome,US,64.5011,-165.4064,1.47,51,0,23.02,clear sky
157,Rawson,AR,-43.3002,-65.1023,70.25,42,0,13.47,clear sky
158,Port Hardy,CA,50.6996,-127.4199,46.76,81,100,9.22,overcast clouds
159,Ostrovnoy,RU,68.0531,39.5131,14.76,83,100,21.99,overcast clouds
160,Caravelas,BR,-17.7125,-39.2481,86.5,56,0,9.24,clear sky
161,Kamenka,RU,51.3223,42.7678,19.74,96,100,7.34,light snow
162,Tucuman,AR,-26.8241,-65.2226,66.2,82,100,3.44,overcast clouds
163,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,59,75,17.9,light snow
164,Tiksi,RU,71.6872,128.8694,-17.23,97,100,3.31,overcast clouds
165,Anqing,CN,30.5092,117.0506,35.8,86,100,9.75,overcast clouds
166,Udachnyy,RU,66.4167,112.4,-13.83,100,99,3.22,overcast clouds
167,Azare,NG,11.6765,10.1948,87.28,12,0,11.45,clear sky
168,Jashpurnagar,IN,22.9,84.15,57.79,26,3,4.81,clear sky
169,Laguna,US,38.421,-121.4238,50.5,92,0,0.0,clear sky
170,Nanortalik,GL,60.1432,-45.2371,13.59,54,100,14.83,overcast clouds
171,Boa Vista,BR,2.8197,-60.6733,80.58,65,75,12.66,moderate rain
172,Emba,KZ,48.8264,58.1442,20.66,95,100,13.78,light snow
173,Salalah,OM,17.0151,54.0924,78.89,73,20,5.75,few clouds
174,Pundaguitan,PH,6.3711,126.1689,81.0,78,17,22.17,few clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,40,13.8,scattered clouds
176,Presidente Dutra,BR,-5.29,-44.49,83.37,74,87,3.76,overcast clouds
177,Ilulissat,GL,69.2167,-51.1,-0.38,50,100,0.0,overcast clouds
178,Talaya,RU,61.3833,152.75,-35.05,89,9,2.55,clear sky
179,Hasaki,JP,35.7333,140.8333,23.4,38,0,18.84,clear sky
180,Port Blair,IN,11.6667,92.75,80.64,78,40,4.61,mist
181,Inhambane,MZ,-23.865,35.3833,82.38,78,75,11.5,broken clouds
182,Saldanha,ZA,-33.0117,17.9442,84.25,72,28,11.36,scattered clouds
183,Ahuimanu,US,21.4447,-157.8378,73.11,81,20,1.01,few clouds
184,De-Kastri,RU,51.4667,140.7833,5.13,93,100,9.53,overcast clouds
185,Ancud,CL,-41.8697,-73.8203,69.22,69,9,4.0,clear sky
186,Xushan,CN,30.1764,121.2457,45.97,79,100,6.04,overcast clouds
187,Puerto Montt,CL,-41.4698,-72.9447,61.63,77,20,9.22,few clouds
188,Goderich,CA,43.7501,-81.7165,22.91,79,100,20.71,overcast clouds
189,Rundu,NA,-17.9333,19.7667,77.9,63,86,6.51,light rain
190,Sioux Lookout,CA,50.1001,-91.917,-0.02,84,100,4.61,overcast clouds
191,Karatau,KZ,43.1667,70.4667,37.58,86,100,37.27,overcast clouds
192,Georgetown,MY,5.4112,100.3354,83.95,94,40,1.01,thunderstorm with heavy rain
193,Bandarbeyla,SO,9.4942,50.8122,77.18,64,55,12.55,broken clouds
194,Talnakh,RU,69.4865,88.3972,-25.87,99,52,1.45,broken clouds
195,Villamontes,BO,-21.25,-63.5,72.19,91,100,5.73,overcast clouds
196,Vung Tau,VN,10.346,107.0843,79.34,77,100,20.2,overcast clouds
197,Tigil,RU,57.8,158.6667,3.7,88,96,5.06,overcast clouds
198,Quatre Cocos,MU,-20.2078,57.7625,82.51,80,74,12.44,light rain
199,Baldone,LV,56.7428,24.3944,35.35,97,100,12.28,snow
200,Sa Kaeo,TH,13.75,102.3333,82.67,48,13,3.96,few clouds
201,Asino,RU,56.9979,86.1452,13.71,89,100,6.15,overcast clouds
202,Cherskiy,RU,68.75,161.3,-30.01,100,46,0.4,scattered clouds
203,Beitbridge,ZW,-22.2167,30.0,87.28,35,25,26.06,scattered clouds
204,Muros,ES,42.7762,-9.0603,60.1,56,57,7.47,broken clouds
205,Airai,TL,-8.9266,125.4092,62.62,94,79,1.3,broken clouds
206,Axim,GH,4.8699,-2.2405,82.85,67,100,11.5,light rain
207,Inta,RU,66.0317,60.1659,-1.48,88,83,5.86,broken clouds
208,Guerrero Negro,MX,27.9769,-114.0611,54.7,50,0,3.09,clear sky
209,Mehamn,NO,71.0357,27.8492,24.75,86,20,27.63,few clouds
210,Umm Lajj,SA,25.0213,37.2685,74.68,34,0,21.5,clear sky
211,Loreto,MX,22.2667,-101.9667,49.57,55,7,5.26,clear sky
212,Neuquen,AR,-38.9516,-68.0591,73.29,40,0,5.75,clear sky
213,Ahipara,NZ,-35.1667,173.1667,72.18,98,100,7.83,overcast clouds
214,Salinopolis,BR,-0.6136,-47.3561,80.19,85,100,10.13,overcast clouds
215,Leningradskiy,RU,69.3833,178.4167,-22.81,97,26,5.48,scattered clouds
216,Abu Samrah,SY,35.3029,37.1841,53.17,65,93,14.85,overcast clouds
217,Wanning,CN,18.8003,110.3967,69.4,89,98,9.73,overcast clouds
218,Abhar,IR,36.1468,49.218,31.98,75,28,9.89,scattered clouds
219,Kungurtug,RU,50.5994,97.5228,-7.76,98,37,1.7,scattered clouds
220,Kampong Thum,KH,12.7111,104.8887,82.89,51,93,6.98,overcast clouds
221,Tanout,NE,14.9709,8.8879,80.44,7,0,16.93,clear sky
222,Harrisburg,US,40.2737,-76.8844,24.17,69,0,4.0,clear sky
223,Sicuani,PE,-14.2694,-71.2261,40.91,99,100,2.21,moderate rain
224,Sterling,US,39.0062,-77.4286,28.94,70,0,3.0,clear sky
225,New Ulm,US,44.3125,-94.4605,23.5,80,100,16.11,overcast clouds
226,Kerman,IR,30.2832,57.0788,51.66,16,0,4.61,clear sky
227,Pucallpa,PE,-8.3791,-74.5539,80.64,78,75,6.91,broken clouds
228,Orodara,BF,10.9492,-4.9342,89.98,7,4,4.65,clear sky
229,Norman Wells,CA,65.282,-126.8329,-16.56,69,100,4.61,overcast clouds
230,Adamovka,RU,51.5223,59.9396,17.15,92,100,5.88,overcast clouds
231,Esperance,AU,-33.8667,121.9,73.24,60,11,16.98,few clouds
232,Chuy,UY,-33.6971,-53.4616,60.26,92,100,9.66,overcast clouds
233,Nola,IT,40.922,14.5329,62.65,54,83,5.01,broken clouds
234,Zacualpan,MX,21.25,-105.1667,66.7,75,35,5.21,scattered clouds
235,Zafra,ES,38.4167,-6.4167,61.88,44,0,7.56,clear sky
236,Crossfield,CA,51.4334,-114.0353,35.56,71,99,11.21,overcast clouds
237,Ukiah,US,39.1502,-123.2078,51.37,73,0,0.0,clear sky
238,Merauke,ID,-8.4667,140.3333,81.93,80,100,7.99,moderate rain
239,Plettenberg Bay,ZA,-34.0527,23.3716,80.19,60,54,4.94,broken clouds
240,Tefe,BR,-3.3542,-64.7114,82.51,78,40,8.05,scattered clouds
241,Kudahuvadhoo,MV,2.6708,72.8944,82.02,66,42,9.73,scattered clouds
242,Souillac,MU,-20.5167,57.5167,82.78,78,75,11.5,broken clouds
243,Kristiinankaupunki,FI,62.2743,21.376,31.64,90,100,12.19,overcast clouds
244,Alihe,CN,50.5667,123.7167,-2.67,96,96,2.89,overcast clouds
245,Kindersley,CA,51.4668,-109.1682,22.78,79,20,6.91,few clouds
246,Bahia Blanca,AR,-38.7196,-62.2724,64.83,51,0,10.58,clear sky
