City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Biltine,TD,84.54,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
300,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
305,Jacareacanga,BR,86.04,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
308,Adrar,MR,83.39,clear sky,20.5022,-10.0711,
312,Les Cayes,HT,78.55,clear sky,18.2,-73.75,Villa Orphee
320,Tabou,CI,83.73,light rain,4.423,-7.3528,hotêl doufoulougou
322,Hobyo,SO,79.2,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
331,Alta Floresta,BR,82.22,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
332,Vanimo,PG,79.02,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
335,Sao Jose Da Coroa Grande,BR,85.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Richards Bay,ZA,77.22,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
342,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Illela,NG,88.61,clear sky,13.7292,5.2975,
355,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
357,Fayaoue,NC,81.12,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
359,Colesberg,ZA,80.2,overcast clouds,-30.72,25.0972,Bhelekazi Guesthouse
361,Karratha,AU,84.69,few clouds,-20.7377,116.8463,ibis Styles Karratha
363,Pietersburg,ZA,77.85,few clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
377,The Valley,AI,78.66,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
380,Sola,VU,81.36,overcast clouds,-13.8833,167.55,Leumerus Bungalows
382,Kampene,CD,80.24,overcast clouds,-3.6,26.6667,
390,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
391,Vao,NC,79.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
393,Parrita,CR,84.99,clear sky,9.5201,-84.3225,Beso del Viento
396,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
399,Aden,YE,79.07,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
